Timestamp,CameraID,CameraName,ObjectID,EventType,LineCount,PosX,PosY,Counted,AnomalyDetected,AnomalyType
2025-07-18 02:37:05,102,Camera 2,35,Bale Detected. Total: 8,8,NA,322,True,false,
2025-07-18 06:35:06,101,Camera 1,1,Bale Detected. Total: 1,1,753,399,True,false,
2025-07-18 06:37:30,101,Camera 1,1,Bale Detected. Total: 1,1,499,283,True,false,
2025-07-18 06:38:08,101,Camera 1,5,Bale Detected. Total: 2,2,762,369,True,false,
2025-07-18 06:38:54,101,Camera 1,16,Bale Detected. Total: 3,3,590,293,True,false,
2025-07-18 06:39:17,101,Camera 1,22,Bale Detected. Total: 4,4,717,403,True,false,
2025-07-18 06:39:33,101,Camera 1,24,Bale Detected. Total: 5,5,589,309,True,false,
2025-07-18 06:39:53,101,Camera 1,26,Bale Detected. Total: 6,6,884,499,True,false,
2025-07-18 06:40:19,101,Camera 1,33,Bale Detected. Total: 7,7,563,281,True,false,
2025-07-18 06:40:43,101,Camera 1,40,Bale Detected. Total: 8,8,831,443,True,false,
2025-07-18 06:41:55,101,Camera 1,5,Covered Bale Detected. Total: 1,1,501,346,True,true,Cotton Bale Wrap
2025-07-18 06:42:15,101,Camera 1,8,Covered Bale Detected. Total: 2,2,593,362,True,true,Cotton Bale Wrap
2025-07-18 06:42:34,101,Camera 1,13,Covered Bale Detected. Total: 3,3,582,382,True,true,Cotton Bale Wrap
2025-07-18 06:43:14,101,Camera 1,20,Covered Bale Detected. Total: 4,4,484,349,True,true,Cotton Bale Wrap
2025-07-18 06:43:33,101,Camera 1,25,Covered Bale Detected. Total: 5,5,621,377,True,true,Cotton Bale Wrap
2025-07-18 06:44:31,101,Camera 1,38,Covered Bale Detected. Total: 6,6,602,367,True,true,Cotton Bale Wrap
2025-07-18 07:05:37,101,Camera 1,2,Covered Bale Detected. Total: 1,1,499,338,True,true,Cotton Bale Wrap
2025-07-18 07:30:17,101,Camera 1,13,Covered Bale Detected. Total: 1,1,608,367,True,true,Cotton Bale Wrap
2025-07-21 15:34:19,101,Camera 1,1,Bale Detected. Total: 1,1,905,323,True,false,
2025-07-21 15:38:48,101,Camera 1,2,Bale Detected. Total: 1,1,178,262,True,false,
2025-07-21 16:52:52,101,Camera 1,18,Bale Detected. Total: 1,1,101,331,True,false,
2025-07-21 16:53:09,101,Camera 1,20,Bale Detected. Total: 2,2,130,351,True,false,
2025-07-21 16:53:27,101,Camera 1,24,Bale Detected. Total: 3,3,107,327,True,false,
2025-07-21 16:54:15,101,Camera 1,1,Bale Detected. Total: 1,1,663,341,True,false,
2025-07-21 16:54:33,101,Camera 1,5,Bale Detected. Total: 2,2,785,384,True,false,
2025-07-21 16:58:42,101,Camera 1,2,Bale Detected. Total: 1,1,170,299,True,false,
2025-07-21 16:59:17,101,Camera 1,11,Bale Detected. Total: 2,2,29,365,True,false,
2025-07-21 16:59:31,101,Camera 1,12,Bale Detected. Total: 3,3,715,700,True,false,
2025-07-21 16:59:49,101,Camera 1,14,Bale Detected. Total: 4,4,279,946,True,false,
